Date,Price,Volume,Open,High,Low
07/29/2022,98.62,331035,97.30,99.00,97.98
07/28/2022,96.42,298715,98.17,99.84,96.04
07/27/2022,97.26,309844,95.60,98.59,94.30
07/26/2022,94.98,291338,96.33,99.00,94.76
07/25/2022,96.70,260943,95.10,96.94,94.96
07/22/2022,94.70,292996,96.51,97.66,94.50
07/21/2022,96.35,305925,99.91,99.99,94.59
07/20/2022,102.26,18256,103.60,104.39,101.51
07/19/2022,104.22,34094,102.00,104.46,101.18
07/18/2022,102.60,66376,97.27,102.80,95.85
07/15/2022,97.59,215441,96.39,99.03,94.57
07/14/2022,95.78,349308,96.57,97.00,90.56
07/13/2022,96.30,315723,95.89,97.96,93.67
07/12/2022,95.84,363513,103.46,103.49,95.35
07/11/2022,104.09,298389,104.79,104.57,100.89
07/08/2022,104.79,299690,102.22,105.24,101.51
07/07/2022,102.73,362930,98.22,104.48,96.57
07/06/2022,98.53,429044,100.36,98.88,95.70
07/05/2022,99.50,576315,108.80,99.99,99.06
07/01/2022,108.43,285493,106.01,109.34,104.56
06/30/2022,105.76,342597,109.70,110.45,105.10
06/29/2022,109.78,301016,111.86,114.05,109.22
06/28/2022,111.76,294630,110.18,112.22,109.62
06/27/2022,109.57,268977,107.22,110.54,105.60
06/24/2022,107.62,305960,103.99,108.58,103.64
06/23/2022,104.27,331213,104.42,107.05,102.32
06/22/2022,106.19,416613,109.54,109.76,101.53
06/21/2022,110.65,18403,110.58,112.47,108.72
06/17/2022,109.56,70358,117.08,118.97,108.25
06/16/2022,117.59,145940,115.98,118.08,116.16
06/15/2022,115.31,276231,119.07,119.61,114.60
06/14/2022,118.93,332250,121.09,119.10,116.62
06/13/2022,120.93,333150,120.19,122.25,117.47
06/10/2022,120.67,312480,121.46,122.75,118.33
06/09/2022,121.51,254996,122.43,122.72,120.79
06/08/2022,122.11,306204,119.79,123.18,119.30
06/07/2022,119.41,313707,119.10,120.36,117.14
